                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6976,                0.47059,                0.88235,                 1.8916,             0.00016422,             0.00016422,             0.00016422
                      2,                 1.0285,                0.53922,                0.89216,                 1.7642,             0.00033226,             0.00033226,             0.00033226
                      3,                0.41744,                0.52941,                0.93137,                 1.6861,              0.0004969,              0.0004969,              0.0004969
                      4,                 0.2093,                0.54902,                0.90196,                 1.5581,             0.00065815,             0.00065815,             0.00065815
                      5,                0.12655,                0.62745,                0.95098,                 1.6277,             0.00068573,             0.00068573,             0.00068573
                      6,                0.10903,                0.62745,                0.97059,                 1.5904,             0.00067866,             0.00067866,             0.00067866
                      7,                0.06809,                0.59804,                0.96078,                 1.6048,             0.00067159,             0.00067159,             0.00067159
                      8,                0.12178,                0.68627,                0.97059,                 1.5571,             0.00066452,             0.00066452,             0.00066452
                      9,                0.04167,                0.64706,                0.95098,                 1.4636,             0.00065745,             0.00065745,             0.00065745
                     10,                0.10922,                0.64706,                0.93137,                 1.4503,             0.00065038,             0.00065038,             0.00065038
                     11,                0.09426,                0.68627,                0.96078,                 1.4611,             0.00064331,             0.00064331,             0.00064331
                     12,                0.10544,                0.63725,                0.93137,                 1.4872,             0.00063625,             0.00063625,             0.00063625
                     13,                0.12428,                0.68627,                0.92157,                  1.504,             0.00062918,             0.00062918,             0.00062918
                     14,                0.07221,                0.68627,                0.93137,                 1.4701,             0.00062211,             0.00062211,             0.00062211
                     15,                0.10084,                0.70588,                0.93137,                  1.515,             0.00061504,             0.00061504,             0.00061504
                     16,                0.02776,                0.70588,                0.92157,                  1.514,             0.00060797,             0.00060797,             0.00060797
                     17,                0.09525,                0.71569,                0.89216,                 1.4475,              0.0006009,              0.0006009,              0.0006009
                     18,                0.03806,                0.70588,                0.93137,                 1.4369,             0.00059383,             0.00059383,             0.00059383
                     19,                 0.1431,                0.70588,                0.92157,                 1.4366,             0.00058677,             0.00058677,             0.00058677
                     20,                0.13276,                0.67647,                0.91176,                 1.5113,              0.0005797,              0.0005797,              0.0005797
                     21,                0.07839,                0.65686,                0.96078,                 1.5929,             0.00057263,             0.00057263,             0.00057263
                     22,                 0.0522,                0.66667,                0.98039,                  1.533,             0.00056556,             0.00056556,             0.00056556
                     23,                0.08123,                0.70588,                0.98039,                 1.4453,             0.00055849,             0.00055849,             0.00055849
                     24,                0.05664,                0.71569,                0.98039,                 1.4664,             0.00055142,             0.00055142,             0.00055142
                     25,                 0.0325,                0.69608,                0.98039,                 1.4787,             0.00054435,             0.00054435,             0.00054435
                     26,                0.04027,                0.69608,                0.98039,                 1.4647,             0.00053728,             0.00053728,             0.00053728
                     27,                0.07937,                0.69608,                0.98039,                  1.415,             0.00053022,             0.00053022,             0.00053022
                     28,                0.05811,                0.68627,                0.95098,                 1.4238,             0.00052315,             0.00052315,             0.00052315
                     29,                0.01867,                0.70588,                0.96078,                 1.5393,             0.00051608,             0.00051608,             0.00051608
                     30,                0.03294,                0.67647,                0.97059,                 1.5314,             0.00050901,             0.00050901,             0.00050901
                     31,                0.06285,                0.63725,                0.96078,                 1.5474,             0.00050194,             0.00050194,             0.00050194
                     32,                0.01478,                0.58824,                0.95098,                 1.5529,             0.00049487,             0.00049487,             0.00049487
                     33,                0.02058,                0.64706,                0.95098,                 1.5538,              0.0004878,              0.0004878,              0.0004878
                     34,                0.00922,                0.68627,                0.96078,                 1.4956,             0.00048074,             0.00048074,             0.00048074
                     35,                0.12104,                0.66667,                0.93137,                 1.5118,             0.00047367,             0.00047367,             0.00047367
                     36,                0.11658,                0.66667,                0.92157,                 1.4981,              0.0004666,              0.0004666,              0.0004666
                     37,                0.00949,                0.69608,                0.97059,                 1.4477,             0.00045953,             0.00045953,             0.00045953
                     38,                0.05608,                0.70588,                0.97059,                 1.4985,             0.00045246,             0.00045246,             0.00045246
                     39,                0.03772,                0.70588,                0.96078,                 1.5003,             0.00044539,             0.00044539,             0.00044539
