                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7987,                0.41176,                0.80392,                 1.9053,             0.00016422,             0.00016422,             0.00016422
                      2,                 1.0035,                0.52941,                0.85294,                 1.7748,             0.00033226,             0.00033226,             0.00033226
                      3,                0.38899,                0.55882,                0.85294,                 1.6915,              0.0004969,              0.0004969,              0.0004969
                      4,                0.20611,                0.52941,                0.83333,                 1.5531,             0.00065815,             0.00065815,             0.00065815
                      5,                0.09163,                0.63725,                0.89216,                 1.6088,             0.00068573,             0.00068573,             0.00068573
                      6,                 0.1322,                0.63725,                0.93137,                 1.5744,             0.00067866,             0.00067866,             0.00067866
                      7,                0.05747,                0.61765,                0.91176,                 1.5879,             0.00067159,             0.00067159,             0.00067159
                      8,                0.10871,                0.63725,                0.93137,                 1.6149,             0.00066452,             0.00066452,             0.00066452
                      9,                0.02966,                0.59804,                0.92157,                 1.4713,             0.00065745,             0.00065745,             0.00065745
                     10,                0.11414,                0.57843,                0.91176,                 1.4794,             0.00065038,             0.00065038,             0.00065038
                     11,                0.08574,                0.62745,                0.91176,                 1.5099,             0.00064331,             0.00064331,             0.00064331
                     12,                0.14403,                0.60784,                0.90196,                 1.5335,             0.00063625,             0.00063625,             0.00063625
                     13,                0.10193,                0.64706,                0.93137,                 1.5595,             0.00062918,             0.00062918,             0.00062918
                     14,                0.07198,                0.66667,                0.96078,                 1.4809,             0.00062211,             0.00062211,             0.00062211
                     15,                0.10207,                0.64706,                0.94118,                 1.5762,             0.00061504,             0.00061504,             0.00061504
                     16,                0.05917,                0.63725,                0.95098,                 1.5693,             0.00060797,             0.00060797,             0.00060797
                     17,                0.13317,                0.67647,                0.96078,                 1.4919,              0.0006009,              0.0006009,              0.0006009
                     18,                0.02867,                0.68627,                0.95098,                 1.4518,             0.00059383,             0.00059383,             0.00059383
                     19,                0.13322,                0.72549,                0.90196,                 1.4429,             0.00058677,             0.00058677,             0.00058677
                     20,                0.11069,                0.69608,                0.91176,                 1.4474,              0.0005797,              0.0005797,              0.0005797
                     21,                0.06267,                0.66667,                0.93137,                 1.5277,             0.00057263,             0.00057263,             0.00057263
                     22,                0.02537,                0.66667,                0.95098,                  1.497,             0.00056556,             0.00056556,             0.00056556
                     23,                 0.0596,                0.64706,                0.96078,                 1.4694,             0.00055849,             0.00055849,             0.00055849
                     24,                 0.0512,                0.66667,                0.96078,                 1.4881,             0.00055142,             0.00055142,             0.00055142
                     25,                0.01784,                0.67647,                0.96078,                 1.5116,             0.00054435,             0.00054435,             0.00054435
                     26,                 0.0181,                0.67647,                0.96078,                 1.4588,             0.00053728,             0.00053728,             0.00053728
                     27,                0.12906,                0.66667,                0.95098,                 1.4706,             0.00053022,             0.00053022,             0.00053022
                     28,                 0.0775,                0.65686,                0.95098,                 1.4894,             0.00052315,             0.00052315,             0.00052315
                     29,                0.01892,                0.63725,                0.95098,                 1.5891,             0.00051608,             0.00051608,             0.00051608
                     30,                0.01486,                0.61765,                0.94118,                 1.5881,             0.00050901,             0.00050901,             0.00050901
                     31,                0.02395,                0.63725,                0.94118,                 1.5488,             0.00050194,             0.00050194,             0.00050194
                     32,                0.03058,                0.64706,                0.94118,                 1.5272,             0.00049487,             0.00049487,             0.00049487
                     33,                0.01915,                0.65686,                0.92157,                 1.4988,              0.0004878,              0.0004878,              0.0004878
                     34,                0.00882,                0.64706,                0.92157,                 1.5068,             0.00048074,             0.00048074,             0.00048074
                     35,                0.07722,                0.61765,                0.91176,                 1.5437,             0.00047367,             0.00047367,             0.00047367
                     36,                0.16934,                0.62745,                0.90196,                 1.5422,              0.0004666,              0.0004666,              0.0004666
                     37,                0.02126,                0.61765,                0.91176,                 1.5101,             0.00045953,             0.00045953,             0.00045953
                     38,                0.04404,                0.62745,                0.92157,                 1.5389,             0.00045246,             0.00045246,             0.00045246
                     39,                0.02143,                0.65686,                0.92157,                 1.5372,             0.00044539,             0.00044539,             0.00044539
                     40,                0.04886,                0.61765,                0.90196,                 1.5713,             0.00043832,             0.00043832,             0.00043832
                     41,                0.04398,                0.61765,                0.94118,                 1.5075,             0.00043126,             0.00043126,             0.00043126
                     42,                0.03558,                0.59804,                0.97059,                 1.5443,             0.00042419,             0.00042419,             0.00042419
                     43,                0.01879,                0.63725,                0.96078,                 1.5513,             0.00041712,             0.00041712,             0.00041712
