                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6073,                0.64706,                0.82353,                  1.833,             0.00023294,             0.00023294,             0.00023294
                      2,                0.67838,                0.61765,                0.87255,                 1.6585,             0.00046627,             0.00046627,             0.00046627
                      3,                0.21525,                0.62745,                0.90196,                 1.5656,              0.0006949,              0.0006949,              0.0006949
                      4,                0.12679,                0.64706,                0.86275,                 1.4951,             0.00069279,             0.00069279,             0.00069279
                      5,                0.06739,                0.69608,                0.85294,                  1.506,             0.00068573,             0.00068573,             0.00068573
                      6,                0.06327,                0.72549,                0.87255,                 1.4764,             0.00067866,             0.00067866,             0.00067866
                      7,                0.03169,                0.70588,                0.88235,                 1.4856,             0.00067159,             0.00067159,             0.00067159
                      8,                  0.053,                0.71569,                0.85294,                 1.5007,             0.00066452,             0.00066452,             0.00066452
                      9,                0.05532,                0.67647,                0.77451,                 1.4591,             0.00065745,             0.00065745,             0.00065745
                     10,                0.05168,                0.67647,                0.83333,                 1.4607,             0.00065038,             0.00065038,             0.00065038
                     11,                0.07184,                0.71569,                0.87255,                 1.4501,             0.00064331,             0.00064331,             0.00064331
                     12,                0.08918,                0.69608,                0.89216,                 1.4605,             0.00063625,             0.00063625,             0.00063625
                     13,                  0.079,                0.66667,                0.93137,                 1.5155,             0.00062918,             0.00062918,             0.00062918
                     14,                0.03557,                0.69608,                0.90196,                 1.4549,             0.00062211,             0.00062211,             0.00062211
                     15,                0.05546,                0.68627,                0.90196,                 1.4934,             0.00061504,             0.00061504,             0.00061504
                     16,                 0.0306,                0.62745,                0.90196,                 1.5219,             0.00060797,             0.00060797,             0.00060797
                     17,                0.01956,                0.63725,                0.90196,                 1.4921,              0.0006009,              0.0006009,              0.0006009
                     18,                0.00643,                0.65686,                0.87255,                 1.4777,             0.00059383,             0.00059383,             0.00059383
                     19,                0.03852,                0.63725,                0.86275,                   1.49,             0.00058677,             0.00058677,             0.00058677
                     20,                0.05825,                0.64706,                0.86275,                 1.4884,              0.0005797,              0.0005797,              0.0005797
                     21,                0.01425,                0.64706,                0.91176,                 1.5243,             0.00057263,             0.00057263,             0.00057263
                     22,                0.03248,                0.65686,                0.93137,                 1.4965,             0.00056556,             0.00056556,             0.00056556
                     23,                0.05087,                0.64706,                0.95098,                 1.4816,             0.00055849,             0.00055849,             0.00055849
