                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0667,                0.15504,                0.70543,                 2.0703,              4.284e-05,              4.284e-05,              4.284e-05
                      2,                 1.9052,                0.29457,                0.75969,                   2.02,             9.1901e-05,             9.1901e-05,             9.1901e-05
                      3,                 1.5943,                0.39535,                0.81395,                 1.8774,             0.00013997,             0.00013997,             0.00013997
                      4,                 1.2167,                0.45736,                0.84496,                 2.0088,             0.00018705,             0.00018705,             0.00018705
                      5,                 0.8518,                0.48837,                0.88372,                 1.8345,             0.00023315,             0.00023315,             0.00023315
                      6,                0.52813,                0.68992,                0.89147,                   1.75,             0.00027825,             0.00027825,             0.00027825
                      7,                0.30759,                0.74419,                0.92248,                 1.6274,             0.00032236,             0.00032236,             0.00032236
                      8,                0.21713,                0.76744,                0.92248,                 1.9102,             0.00036549,             0.00036549,             0.00036549
                      9,                0.12109,                0.75969,                0.93023,                 1.5024,             0.00040762,             0.00040762,             0.00040762
                     10,                0.09346,                0.76744,                0.93798,                 1.4077,             0.00044876,             0.00044876,             0.00044876
                     11,                 0.0434,                0.76744,                0.91473,                 1.3975,             0.00048892,             0.00048892,             0.00048892
                     12,                 0.0335,                0.78295,                0.92248,                 1.8877,             0.00052808,             0.00052808,             0.00052808
                     13,                0.02298,                 0.8062,                0.93023,                 1.8818,             0.00056626,             0.00056626,             0.00056626
                     14,                0.01688,                0.79845,                0.93023,                 1.4233,             0.00060344,             0.00060344,             0.00060344
                     15,                0.03198,                 0.7907,                0.94574,                 1.8823,             0.00061504,             0.00061504,             0.00061504
                     16,                0.01224,                 0.8062,                0.93023,                 1.3848,             0.00060797,             0.00060797,             0.00060797
                     17,                 0.0628,                0.77519,                0.94574,                  1.854,              0.0006009,              0.0006009,              0.0006009
                     18,                0.02905,                0.72868,                0.92248,                 1.4058,             0.00059383,             0.00059383,             0.00059383
                     19,                0.02303,                0.73643,                0.94574,                 1.7871,             0.00058677,             0.00058677,             0.00058677
                     20,                0.07421,                0.76744,                0.95349,                 1.4761,              0.0005797,              0.0005797,              0.0005797
                     21,                0.04249,                0.76744,                0.93798,                  1.394,             0.00057263,             0.00057263,             0.00057263
                     22,                0.01966,                0.76744,                0.96124,                 1.3965,             0.00056556,             0.00056556,             0.00056556
                     23,                0.03512,                0.75194,                0.96124,                 1.4722,             0.00055849,             0.00055849,             0.00055849
                     24,                0.02737,                0.77519,                0.95349,                  1.395,             0.00055142,             0.00055142,             0.00055142
                     25,                0.01347,                0.76744,                0.95349,                  1.395,             0.00054435,             0.00054435,             0.00054435
                     26,                0.00977,                0.78295,                0.95349,                 1.8594,             0.00053728,             0.00053728,             0.00053728
                     27,                0.01323,                0.77519,                0.96899,                 1.6562,             0.00053022,             0.00053022,             0.00053022
                     28,                 0.0109,                0.77519,                0.96124,                 1.3897,             0.00052315,             0.00052315,             0.00052315
                     29,                0.00443,                 0.8062,                0.96124,                 1.3838,             0.00051608,             0.00051608,             0.00051608
                     30,                0.00906,                 0.8062,                0.96124,                 1.3818,             0.00050901,             0.00050901,             0.00050901
                     31,                0.00938,                0.82171,                0.95349,                 1.8731,             0.00050194,             0.00050194,             0.00050194
                     32,                0.01708,                 0.8062,                0.95349,                 1.3833,             0.00049487,             0.00049487,             0.00049487
                     33,                0.00677,                 0.7907,                0.96899,                 1.3965,              0.0004878,              0.0004878,              0.0004878
                     34,                 0.0396,                0.79845,                0.96899,                 1.4356,             0.00048074,             0.00048074,             0.00048074
                     35,                0.00886,                0.79845,                0.96899,                 1.3838,             0.00047367,             0.00047367,             0.00047367
                     36,                0.01087,                0.79845,                0.96899,                 1.3804,              0.0004666,              0.0004666,              0.0004666
                     37,                 0.0066,                0.81395,                0.97674,                 1.5156,             0.00045953,             0.00045953,             0.00045953
                     38,                0.00531,                0.81395,                0.97674,                 1.3833,             0.00045246,             0.00045246,             0.00045246
                     39,                0.00838,                 0.8062,                0.97674,                 1.3823,             0.00044539,             0.00044539,             0.00044539
                     40,                0.03579,                0.79845,                0.97674,                 1.4204,             0.00043832,             0.00043832,             0.00043832
                     41,                0.00239,                 0.7907,                 0.9845,                 1.3897,             0.00043126,             0.00043126,             0.00043126
                     42,                0.02724,                0.79845,                0.96899,                 1.7935,             0.00042419,             0.00042419,             0.00042419
                     43,                0.00916,                0.79845,                0.96899,                 1.8735,             0.00041712,             0.00041712,             0.00041712
                     44,                0.00669,                0.79845,                0.97674,                 1.3814,             0.00041005,             0.00041005,             0.00041005
                     45,                0.01611,                0.79845,                0.97674,                 1.8477,             0.00040298,             0.00040298,             0.00040298
                     46,                0.00776,                0.78295,                0.97674,                 1.3853,             0.00039591,             0.00039591,             0.00039591
                     47,                0.00392,                0.78295,                 0.9845,                 1.3857,             0.00038884,             0.00038884,             0.00038884
                     48,                0.00843,                 0.8062,                 0.9845,                 1.3789,             0.00038178,             0.00038178,             0.00038178
                     49,                0.02477,                0.82171,                 0.9845,                 1.8682,             0.00037471,             0.00037471,             0.00037471
                     50,                0.01255,                0.82171,                 0.9845,                 1.3706,             0.00036764,             0.00036764,             0.00036764
                     51,                0.00807,                0.82171,                 0.9845,                 1.4087,             0.00036057,             0.00036057,             0.00036057
                     52,                 0.0073,                0.82171,                 0.9845,                 1.3706,              0.0003535,              0.0003535,              0.0003535
                     53,                0.01325,                0.82171,                0.97674,                 1.3769,             0.00034643,             0.00034643,             0.00034643
                     54,                0.00961,                0.82171,                0.97674,                 1.4375,             0.00033936,             0.00033936,             0.00033936
                     55,                0.01063,                0.82171,                0.97674,                 1.3755,              0.0003323,              0.0003323,              0.0003323
                     56,                0.00676,                0.82171,                0.97674,                 1.3774,             0.00032523,             0.00032523,             0.00032523
                     57,                0.01285,                0.82171,                 0.9845,                  1.376,             0.00031816,             0.00031816,             0.00031816
                     58,                0.00439,                0.82171,                0.99225,                  1.376,             0.00031109,             0.00031109,             0.00031109
                     59,                0.00521,                0.82171,                0.99225,                 1.3779,             0.00030402,             0.00030402,             0.00030402
                     60,                0.02448,                0.79845,                0.99225,                 1.3804,             0.00029695,             0.00029695,             0.00029695
                     61,                0.00424,                 0.7907,                 0.9845,                 1.3936,             0.00028988,             0.00028988,             0.00028988
                     62,                 0.0053,                0.78295,                 0.9845,                 1.7632,             0.00028282,             0.00028282,             0.00028282
                     63,                0.00306,                 0.7907,                 0.9845,                 1.3843,             0.00027575,             0.00027575,             0.00027575
                     64,                0.00795,                0.79845,                0.99225,                 1.3814,             0.00026868,             0.00026868,             0.00026868
                     65,                0.00551,                0.79845,                0.99225,                 1.3814,             0.00026161,             0.00026161,             0.00026161
                     66,                0.00318,                0.79845,                0.99225,                 1.3833,             0.00025454,             0.00025454,             0.00025454
                     67,                0.00379,                 0.7907,                0.99225,                 1.3823,             0.00024747,             0.00024747,             0.00024747
                     68,                0.01538,                 0.8062,                0.99225,                 1.8345,              0.0002404,              0.0002404,              0.0002404
                     69,                0.00919,                0.82171,                0.99225,                 1.3774,             0.00023334,             0.00023334,             0.00023334
                     70,                  0.002,                0.82171,                0.99225,                 1.3774,             0.00022627,             0.00022627,             0.00022627
                     71,                0.00873,                0.82171,                0.99225,                 1.5264,              0.0002192,              0.0002192,              0.0002192
                     72,                0.00673,                0.81395,                0.99225,                 1.3799,             0.00021213,             0.00021213,             0.00021213
                     73,                0.00806,                0.82171,                0.99225,                 1.3809,             0.00020506,             0.00020506,             0.00020506
                     74,                0.00339,                0.81395,                0.99225,                 1.3804,             0.00019799,             0.00019799,             0.00019799
                     75,                0.00263,                0.81395,                0.99225,                 1.3814,             0.00019092,             0.00019092,             0.00019092
                     76,                0.00206,                0.81395,                0.99225,                 1.3794,             0.00018385,             0.00018385,             0.00018385
                     77,                0.00629,                0.82171,                0.99225,                 1.8721,             0.00017679,             0.00017679,             0.00017679
                     78,                0.00633,                0.82946,                0.99225,                 1.3765,             0.00016972,             0.00016972,             0.00016972
                     79,                0.00813,                0.82171,                0.99225,                 1.3769,             0.00016265,             0.00016265,             0.00016265
                     80,                0.01606,                0.82171,                0.99225,                 1.4478,             0.00015558,             0.00015558,             0.00015558
                     81,                0.00348,                0.82946,                0.99225,                 1.3711,             0.00014851,             0.00014851,             0.00014851
                     82,                0.00353,                0.82171,                0.99225,                  1.856,             0.00014144,             0.00014144,             0.00014144
                     83,                0.00591,                0.82946,                0.99225,                 1.3706,             0.00013437,             0.00013437,             0.00013437
                     84,                0.00331,                0.81395,                0.99225,                 1.3731,             0.00012731,             0.00012731,             0.00012731
                     85,                0.00099,                0.81395,                0.99225,                 1.4912,             0.00012024,             0.00012024,             0.00012024
                     86,                0.00152,                0.81395,                0.99225,                 1.7105,             0.00011317,             0.00011317,             0.00011317
                     87,                0.01143,                0.81395,                0.99225,                 1.3745,              0.0001061,              0.0001061,              0.0001061
                     88,                0.01535,                0.81395,                0.99225,                  1.852,             9.9032e-05,             9.9032e-05,             9.9032e-05
                     89,                0.00237,                0.82171,                0.99225,                 1.8691,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     90,                0.00451,                0.82171,                0.99225,                 1.8701,             8.4895e-05,             8.4895e-05,             8.4895e-05
                     91,                0.00308,                0.82171,                0.99225,                 1.3862,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     92,                0.00088,                0.82171,                0.99225,                 1.3814,             7.0757e-05,             7.0757e-05,             7.0757e-05
                     93,                0.00836,                0.82171,                0.99225,                 1.3745,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     94,                0.00973,                0.82171,                0.99225,                 1.3745,              5.662e-05,              5.662e-05,              5.662e-05
                     95,                0.00593,                0.82171,                0.99225,                 1.4155,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     96,                0.00295,                0.82171,                0.99225,                 1.3765,             4.2483e-05,             4.2483e-05,             4.2483e-05
                     97,                0.00154,                0.81395,                0.99225,                 1.8726,             3.5414e-05,             3.5414e-05,             3.5414e-05
                     98,                0.00134,                0.81395,                0.99225,                 1.3779,             2.8346e-05,             2.8346e-05,             2.8346e-05
                     99,                0.00172,                0.82171,                0.99225,                 1.8726,             2.1277e-05,             2.1277e-05,             2.1277e-05
                    100,                0.00255,                0.82171,                0.99225,                 1.3799,             1.4209e-05,             1.4209e-05,             1.4209e-05
