                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.751,                0.68217,                0.94574,                 1.9404,             0.00023324,             0.00023324,             0.00023324
                      2,                 0.7034,                0.83721,                0.96124,                 1.5755,             0.00046657,             0.00046657,             0.00046657
                      3,                0.20348,                0.82946,                0.97674,                 1.4859,              0.0006952,              0.0006952,              0.0006952
                      4,                0.06595,                0.82946,                0.97674,                 1.4691,             0.00069279,             0.00069279,             0.00069279
                      5,                 0.1022,                0.84496,                0.97674,                 1.4428,             0.00068573,             0.00068573,             0.00068573
                      6,                0.05516,                0.82946,                0.97674,                 1.4434,             0.00067866,             0.00067866,             0.00067866
                      7,                0.07063,                0.82946,                 0.9845,                 1.4385,             0.00067159,             0.00067159,             0.00067159
                      8,                0.07747,                0.82171,                0.97674,                 1.5382,             0.00066452,             0.00066452,             0.00066452
                      9,                0.05786,                0.82171,                 0.9845,                 1.4417,             0.00065745,             0.00065745,             0.00065745
                     10,                0.03894,                0.82946,                 0.9845,                 1.4382,             0.00065038,             0.00065038,             0.00065038
                     11,                0.01305,                0.82946,                0.97674,                 1.4476,             0.00064331,             0.00064331,             0.00064331
                     12,                0.03126,                0.82946,                 0.9845,                 1.5495,             0.00063625,             0.00063625,             0.00063625
                     13,                0.04199,                0.82171,                0.96124,                 1.5499,             0.00062918,             0.00062918,             0.00062918
                     14,                0.02295,                0.83721,                0.95349,                 1.4321,             0.00062211,             0.00062211,             0.00062211
                     15,                 0.0242,                0.82946,                0.95349,                 1.5426,             0.00061504,             0.00061504,             0.00061504
                     16,                0.02194,                0.82946,                0.93798,                 1.4328,             0.00060797,             0.00060797,             0.00060797
                     17,                0.04437,                0.82946,                0.94574,                 1.5396,              0.0006009,              0.0006009,              0.0006009
                     18,                0.01691,                 0.8062,                0.96124,                 1.4565,             0.00059383,             0.00059383,             0.00059383
                     19,                0.02577,                0.82171,                0.91473,                 1.4702,             0.00058677,             0.00058677,             0.00058677
                     20,                 0.0271,                0.82946,                0.93023,                 1.4337,              0.0005797,              0.0005797,              0.0005797
                     21,                0.04054,                0.82946,                0.92248,                 1.4334,             0.00057263,             0.00057263,             0.00057263
                     22,                 0.0268,                0.82946,                0.92248,                 1.4452,             0.00056556,             0.00056556,             0.00056556
                     23,                0.01693,                0.81395,                0.93798,                 1.4453,             0.00055849,             0.00055849,             0.00055849
                     24,                0.01532,                 0.7907,                0.93023,                 1.4693,             0.00055142,             0.00055142,             0.00055142
                     25,                0.02446,                0.77519,                0.94574,                 1.4806,             0.00054435,             0.00054435,             0.00054435
