                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9214,                 0.4186,                0.79845,                 2.0383,             0.00017136,             0.00017136,             0.00017136
                      2,                 1.0615,                0.58915,                0.86047,                 1.7055,              0.0003464,              0.0003464,              0.0003464
                      3,                0.32898,                 0.8062,                0.87597,                 1.5094,              0.0005179,              0.0005179,              0.0005179
                      4,                 0.0746,                 0.7907,                0.88372,                 1.5287,             0.00068587,             0.00068587,             0.00068587
                      5,                0.04966,                 0.8062,                0.94574,                 1.4492,             0.00068573,             0.00068573,             0.00068573
                      6,                0.02626,                 0.8062,                0.94574,                 1.4365,             0.00067866,             0.00067866,             0.00067866
                      7,                0.02183,                 0.8062,                0.94574,                 1.4397,             0.00067159,             0.00067159,             0.00067159
                      8,                0.05219,                0.81395,                0.89922,                 1.6373,             0.00066452,             0.00066452,             0.00066452
                      9,                0.05358,                0.75194,                 0.9845,                 1.6184,             0.00065745,             0.00065745,             0.00065745
                     10,                0.05249,                0.74419,                0.95349,                 1.4723,             0.00065038,             0.00065038,             0.00065038
                     11,                0.02506,                0.75969,                0.96124,                 1.4648,             0.00064331,             0.00064331,             0.00064331
                     12,                0.04819,                0.75969,                0.96124,                 1.6652,             0.00063625,             0.00063625,             0.00063625
                     13,                0.01185,                0.75194,                0.95349,                 1.6621,             0.00062918,             0.00062918,             0.00062918
                     14,                0.00885,                0.75969,                0.95349,                 1.4664,             0.00062211,             0.00062211,             0.00062211
                     15,                0.03695,                0.75194,                0.96899,                 1.6619,             0.00061504,             0.00061504,             0.00061504
                     16,                0.02666,                0.75194,                0.96899,                 1.4691,             0.00060797,             0.00060797,             0.00060797
                     17,                0.02093,                0.75194,                0.96124,                 1.6605,              0.0006009,              0.0006009,              0.0006009
                     18,                0.03764,                 0.7907,                0.94574,                 1.4506,             0.00059383,             0.00059383,             0.00059383
                     19,                0.01774,                 0.7907,                0.95349,                 1.5262,             0.00058677,             0.00058677,             0.00058677
