                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8891,                0.35659,                0.78295,                 2.0348,             0.00017136,             0.00017136,             0.00017136
                      2,                 1.1801,                0.44186,                0.86822,                 1.7566,              0.0003464,              0.0003464,              0.0003464
                      3,                 0.4892,                 0.8062,                0.92248,                 1.5795,              0.0005179,              0.0005179,              0.0005179
                      4,                0.17653,                 0.7907,                0.94574,                 1.6262,             0.00068587,             0.00068587,             0.00068587
                      5,                  0.092,                0.81395,                0.95349,                 1.4465,             0.00068573,             0.00068573,             0.00068573
                      6,                0.04524,                0.82946,                0.95349,                 1.4387,             0.00067866,             0.00067866,             0.00067866
                      7,                0.03838,                0.81395,                0.94574,                 1.4422,             0.00067159,             0.00067159,             0.00067159
                      8,                0.04839,                 0.8062,                0.95349,                  1.643,             0.00066452,             0.00066452,             0.00066452
                      9,                0.05702,                0.77519,                0.96124,                 1.4596,             0.00065745,             0.00065745,             0.00065745
                     10,                 0.0453,                 0.8062,                0.95349,                 1.4537,             0.00065038,             0.00065038,             0.00065038
                     11,                0.03861,                 0.7907,                 0.9845,                 1.4422,             0.00064331,             0.00064331,             0.00064331
                     12,                0.02436,                 0.8062,                      1,                  1.634,             0.00063625,             0.00063625,             0.00063625
                     13,                0.03292,                0.81395,                0.99225,                 1.6266,             0.00062918,             0.00062918,             0.00062918
                     14,                0.01694,                0.81395,                0.97674,                 1.4301,             0.00062211,             0.00062211,             0.00062211
                     15,                0.04273,                0.81395,                0.97674,                 1.6193,             0.00061504,             0.00061504,             0.00061504
                     16,                0.02636,                0.82171,                0.97674,                 1.4246,             0.00060797,             0.00060797,             0.00060797
                     17,                 0.0292,                0.82171,                0.97674,                 1.6109,              0.0006009,              0.0006009,              0.0006009
                     18,                0.02143,                 0.8062,                0.97674,                 1.4322,             0.00059383,             0.00059383,             0.00059383
                     19,                  0.015,                0.81395,                0.97674,                 1.4393,             0.00058677,             0.00058677,             0.00058677
                     20,                0.01407,                0.82171,                0.97674,                 1.4314,              0.0005797,              0.0005797,              0.0005797
                     21,                0.00976,                0.82171,                0.96899,                 1.4178,             0.00057263,             0.00057263,             0.00057263
                     22,                0.02593,                0.82171,                0.95349,                 1.4209,             0.00056556,             0.00056556,             0.00056556
                     23,                0.00915,                0.82946,                0.97674,                 1.4227,             0.00055849,             0.00055849,             0.00055849
                     24,                 0.0162,                0.82171,                0.96899,                 1.4248,             0.00055142,             0.00055142,             0.00055142
                     25,                0.01336,                0.82171,                0.96899,                 1.4246,             0.00054435,             0.00054435,             0.00054435
                     26,                 0.0053,                0.81395,                0.96899,                 1.6109,             0.00053728,             0.00053728,             0.00053728
                     27,                0.04336,                 0.8062,                0.96899,                 1.4574,             0.00053022,             0.00053022,             0.00053022
                     28,                0.01465,                 0.8062,                0.96124,                 1.4457,             0.00052315,             0.00052315,             0.00052315
                     29,                0.01537,                0.82171,                0.95349,                 1.4262,             0.00051608,             0.00051608,             0.00051608
                     30,                0.01872,                0.82946,                0.97674,                 1.4223,             0.00050901,             0.00050901,             0.00050901
                     31,                0.01088,                0.82171,                0.96899,                 1.6185,             0.00050194,             0.00050194,             0.00050194
                     32,                0.01587,                0.82171,                 0.9845,                 1.4244,             0.00049487,             0.00049487,             0.00049487
                     33,                0.02208,                0.81395,                0.99225,                 1.4307,              0.0004878,              0.0004878,              0.0004878
                     34,                0.02173,                0.82171,                0.97674,                 1.4342,             0.00048074,             0.00048074,             0.00048074
                     35,                 0.0115,                0.82171,                0.99225,                 1.4217,             0.00047367,             0.00047367,             0.00047367
                     36,                0.00916,                0.82171,                0.99225,                 1.4205,              0.0004666,              0.0004666,              0.0004666
                     37,                0.01296,                0.81395,                0.99225,                 1.5748,             0.00045953,             0.00045953,             0.00045953
                     38,                0.01346,                0.81395,                0.97674,                 1.4281,             0.00045246,             0.00045246,             0.00045246
                     39,                0.01899,                0.81395,                0.97674,                 1.4275,             0.00044539,             0.00044539,             0.00044539
                     40,                0.01095,                0.81395,                0.97674,                 1.4277,             0.00043832,             0.00043832,             0.00043832
                     41,                0.00774,                0.82946,                 0.9845,                  1.416,             0.00043126,             0.00043126,             0.00043126
                     42,                0.00544,                0.82946,                0.97674,                 1.4387,             0.00042419,             0.00042419,             0.00042419
                     43,                0.00527,                0.82946,                 0.9845,                 1.6047,             0.00041712,             0.00041712,             0.00041712
                     44,                0.00505,                0.82946,                0.97674,                 1.4219,             0.00041005,             0.00041005,             0.00041005
                     45,                0.01181,                0.82946,                0.97674,                 1.4301,             0.00040298,             0.00040298,             0.00040298
                     46,                0.00725,                0.82946,                0.97674,                 1.4199,             0.00039591,             0.00039591,             0.00039591
                     47,                0.00916,                0.82171,                0.97674,                 1.4242,             0.00038884,             0.00038884,             0.00038884
                     48,                0.00349,                0.82171,                0.97674,                 1.4205,             0.00038178,             0.00038178,             0.00038178
                     49,                0.00705,                0.82171,                 0.9845,                 1.6105,             0.00037471,             0.00037471,             0.00037471
                     50,                0.00526,                0.82171,                 0.9845,                  1.417,             0.00036764,             0.00036764,             0.00036764
                     51,                0.00333,                0.82946,                0.97674,                 1.4164,             0.00036057,             0.00036057,             0.00036057
                     52,                0.01189,                0.82171,                0.97674,                 1.4187,              0.0003535,              0.0003535,              0.0003535
                     53,                0.01159,                0.82171,                 0.9845,                 1.4199,             0.00034643,             0.00034643,             0.00034643
                     54,                0.00563,                0.82171,                 0.9845,                 1.4318,             0.00033936,             0.00033936,             0.00033936
                     55,                0.00734,                0.82171,                 0.9845,                 1.4221,              0.0003323,              0.0003323,              0.0003323
                     56,                0.00232,                0.81395,                0.97674,                 1.4303,             0.00032523,             0.00032523,             0.00032523
                     57,                0.00613,                0.81395,                0.97674,                 1.4291,             0.00031816,             0.00031816,             0.00031816
                     58,                0.00883,                0.81395,                0.97674,                 1.4273,             0.00031109,             0.00031109,             0.00031109
                     59,                0.02963,                0.82171,                0.97674,                 1.4275,             0.00030402,             0.00030402,             0.00030402
                     60,                0.00559,                0.82946,                0.97674,                 1.4199,             0.00029695,             0.00029695,             0.00029695
                     61,                0.00979,                0.82946,                0.96899,                 1.4246,             0.00028988,             0.00028988,             0.00028988
                     62,                0.00781,                0.82946,                0.96899,                 1.4248,             0.00028282,             0.00028282,             0.00028282
                     63,                0.01071,                0.82171,                0.96124,                  1.425,             0.00027575,             0.00027575,             0.00027575
