                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1541,                0.14729,                0.65891,                 2.0576,              4.284e-05,              4.284e-05,              4.284e-05
                      2,                 1.9478,                0.30233,                0.79845,                 2.0112,             9.1901e-05,             9.1901e-05,             9.1901e-05
                      3,                 1.5767,                0.43411,                0.84496,                 1.8066,             0.00013997,             0.00013997,             0.00013997
                      4,                 1.1168,                0.50388,                0.85271,                 1.9341,             0.00018705,             0.00018705,             0.00018705
                      5,                0.72016,                0.63566,                0.88372,                 1.7275,             0.00023315,             0.00023315,             0.00023315
                      6,                0.39392,                0.73643,                0.86047,                 1.6318,             0.00027825,             0.00027825,             0.00027825
                      7,                0.21954,                0.75969,                0.90698,                 1.4927,             0.00032236,             0.00032236,             0.00032236
                      8,                0.12967,                0.76744,                0.91473,                 1.9082,             0.00036549,             0.00036549,             0.00036549
                      9,                0.06334,                0.76744,                0.92248,                 1.4648,             0.00040762,             0.00040762,             0.00040762
                     10,                0.05964,                0.76744,                0.93798,                 1.4189,             0.00044876,             0.00044876,             0.00044876
                     11,                0.02375,                0.76744,                0.96899,                 1.3945,             0.00048892,             0.00048892,             0.00048892
                     12,                0.01912,                 0.8062,                0.96124,                 1.8814,             0.00052808,             0.00052808,             0.00052808
                     13,                0.00936,                0.81395,                0.94574,                 1.8755,             0.00056626,             0.00056626,             0.00056626
                     14,                0.00956,                0.82171,                0.93023,                 1.3809,             0.00060344,             0.00060344,             0.00060344
                     15,                0.02248,                0.82946,                0.96124,                 1.8701,             0.00061504,             0.00061504,             0.00061504
                     16,                0.00791,                0.82946,                0.94574,                 1.3731,             0.00060797,             0.00060797,             0.00060797
                     17,                 0.0516,                0.82171,                0.96124,                 1.8613,              0.0006009,              0.0006009,              0.0006009
                     18,                0.02539,                 0.7907,                0.97674,                 1.3848,             0.00059383,             0.00059383,             0.00059383
                     19,                0.01554,                0.79845,                0.97674,                 1.4439,             0.00058677,             0.00058677,             0.00058677
                     20,                0.04521,                 0.7907,                0.96899,                 1.3804,              0.0005797,              0.0005797,              0.0005797
                     21,                0.04259,                 0.7907,                0.95349,                 1.3818,             0.00057263,             0.00057263,             0.00057263
                     22,                0.00879,                0.79845,                0.97674,                 1.3789,             0.00056556,             0.00056556,             0.00056556
                     23,                0.01981,                0.81395,                0.96124,                 1.3809,             0.00055849,             0.00055849,             0.00055849
                     24,                0.01512,                0.79845,                0.94574,                 1.3814,             0.00055142,             0.00055142,             0.00055142
                     25,                0.01299,                 0.7907,                0.94574,                 1.3843,             0.00054435,             0.00054435,             0.00054435
                     26,                0.00579,                 0.8062,                0.94574,                 1.8618,             0.00053728,             0.00053728,             0.00053728
                     27,                0.00743,                0.79845,                0.94574,                  1.437,             0.00053022,             0.00053022,             0.00053022
                     28,                0.00459,                 0.8062,                0.95349,                 1.3818,             0.00052315,             0.00052315,             0.00052315
                     29,                0.00182,                 0.8062,                0.96124,                  1.376,             0.00051608,             0.00051608,             0.00051608
                     30,                0.00974,                 0.8062,                0.96124,                 1.3755,             0.00050901,             0.00050901,             0.00050901
                     31,                0.01677,                0.81395,                0.94574,                 1.8716,             0.00050194,             0.00050194,             0.00050194
                     32,                0.01794,                0.81395,                0.94574,                 1.3779,             0.00049487,             0.00049487,             0.00049487
                     33,                0.01318,                0.79845,                0.96124,                 1.3799,              0.0004878,              0.0004878,              0.0004878
                     34,                0.04155,                 0.8062,                0.94574,                 1.3965,             0.00048074,             0.00048074,             0.00048074
                     35,                0.02735,                0.81395,                0.92248,                 1.3726,             0.00047367,             0.00047367,             0.00047367
